sheet,participant,condition,start_choice,stop_choice,turn_s,start_time_s,outbound_end_s,return_start_s,stop_time_s,outbound_duration_s,return_duration_s,outbound_speed_mps,return_speed_mps,outbound_vertical_mean,outbound_vertical_sd,outbound_vertical_range,outbound_lateral_mean,outbound_lateral_sd,outbound_lateral_range,outbound_ap_mean,outbound_ap_sd,outbound_ap_range,return_vertical_mean,return_vertical_sd,return_vertical_range,return_lateral_mean,return_lateral_sd,return_lateral_range,return_ap_mean,return_ap_sd,return_ap_range
SWEAT_001DTGTRIAL,SWEAT-001,DTG_TRIAL,turn,turn,12.089838072311046,0.5898380723110463,10.089838072311046,14.089838072311046,23.05,9.5,8.960161927688954,0.3157894736842105,0.3348153776919267,9.28625095473684,0.6964838438677353,5.580764,-0.7327531694736843,0.5884406500584903,4.560791,3.086908568421052,0.6853769627108259,4.344799,9.322963481026786,0.7612222554894239,5.747942,-0.6555723270089285,0.5751544047218596,4.578609999999999,2.977558430803572,0.6563657033584357,3.668744
SWEAT_002DTGTRIAL,SWEAT-002,DTG_TRIAL,turn,turn,11.96,0.9600000000000009,9.96,13.96,22.6,9.0,8.64,0.3333333333333333,0.3472222222222222,9.504686702222225,0.5874642149059202,4.584458000000001,-0.1107055155555555,0.5004669672940005,4.098625,2.378203147777778,0.6165254441805926,3.21633,9.51320160185185,0.8485635030563382,7.101999000000001,-0.1056089050925925,0.6419328622944961,5.552654,2.3878426678240743,0.7201480118550634,4.120931000000001
SWEAT_003DTGTRIAL,SWEAT-003,DTG_TRIAL,thresh,thresh,7.13,0.53,5.13,9.13,14.38,4.6,5.250000000000002,0.6521739130434783,0.5714285714285713,9.734451336225597,1.1660853482651503,7.994141999999999,0.3327538134490239,0.7721183420553563,4.955280999999999,0.869010535791757,1.041067773576157,5.260245,9.695266505703424,1.0504867470252444,7.673926999999999,0.2854695627376426,0.6655518079386586,4.502179,1.3260299600760457,0.976052324482068,6.215718
SWEAT_004DTGTRIAL,SWEAT-004,DTG_TRIAL,turn,turn,9.14,0.0,7.140000000000001,11.14,20.14,7.140000000000001,9.0,0.4201680672268907,0.3333333333333333,9.676587713286713,1.3490373926548542,13.255317000000002,0.4387228895104895,1.1908421389364534,8.590129,1.3222320265734266,1.4671975491544504,7.664465999999999,9.689002815760269,0.8459405208614309,5.793951,0.3975710998890122,0.9547044539644306,5.575648,1.1802201465038848,1.0187989813134446,5.510638999999999
SWEAT_005DTG TRIAL,SWEAT-005,DTG_TRIAL,turn,turn,13.91,0.4100000000000001,11.91,15.91,26.71,11.5,10.8,0.2608695652173913,0.2777777777777777,9.172846569565218,0.5410288790464524,5.464362,-0.65291298,0.4567046020671896,3.964016,3.4527167973913047,0.5171513299133275,2.9250080000000005,9.143750187962963,0.731118313616578,6.177118,-0.6870876777777778,0.5164537319206194,3.485876,3.4941489657407407,0.5533049007446358,3.221693
SWEAT_006DTG TRIAL,SWEAT-006,DTG_TRIAL,turn,turn,12.59,4.59,10.59,14.59,20.59,6.0,6.0,0.5,0.5,9.231313931780363,1.3197798077095149,8.45934,-0.2670875191347753,1.4588515066474634,11.69356,3.3120578685524125,1.4051987055035071,10.61311,9.196239427620633,1.305422733193054,9.660756,-0.3403828452579034,1.3536103395906065,14.534542,3.361728640599001,1.2671822965345592,10.032685
SWEAT_007DTG TRIAL,SWEAT-007,DTG_TRIAL,thresh,turn,14.14,2.96,12.14,16.14,24.64,9.18,8.5,0.326797385620915,0.3529411764705882,9.384770627856366,0.7113431585084041,6.885121,0.030367478781284,0.534396717317916,3.870306,2.8369178759521216,0.6689301587582382,3.530601,9.307646888366628,0.9530961908711068,6.389047,0.118507044653349,0.7969257249485052,5.3967290000000006,3.074283522914218,0.7346486526537417,4.278955999999999
SWEAT_008DTG TRIAL,SWEAT-008,DTG_TRIAL,thresh,thresh,7.11,2.73,5.11,9.11,14.37,2.3800000000000003,5.26,1.260504201680672,0.5703422053231939,9.31323679916318,0.9298001699208888,8.275345999999999,-0.2560435188284519,0.5409689104748845,3.428022,3.123008175732218,0.7937458505233947,5.259378,9.48815928462998,1.129271003551199,9.564820999999998,-0.3428398102466793,0.9414241268995897,8.036162,2.313488669829222,1.190850639309,5.3953940000000005
SWEAT_009DTGTRIAL,SWEAT-009,DTG_TRIAL,turn,turn,19.26,7.760000000000002,17.26,21.26,30.76,9.5,9.5,0.3157894736842105,0.3157894736842105,9.509803848421052,0.598466704844507,3.804669000000001,0.3970494263157895,0.6115225880167807,5.074831,2.33825186,0.6921257565816903,3.802441,9.429924921135646,0.554048016594899,4.31181,0.4955779537329127,0.5292009648517182,5.291739,2.652884045215562,0.580071893931406,3.2406340000000005
SWEAT_010DTGTRIAL,SWEAT-010,DTG_TRIAL,thresh,turn,11.86,0.12,9.86,13.86,23.86,9.74,10.0,0.3080082135523614,0.3,9.475314464615384,0.6191911665928711,4.938935,-0.0231768656410256,0.7292412380635512,6.612688,2.536766682051282,0.6010655136938303,3.346182,9.479174426573426,0.6197010653863086,4.712769000000001,-0.0539962257742257,0.6810461609163421,5.4460180000000005,2.4970072727272727,0.5763756296872597,3.844393
